"id","name"
1,"首都医科大学附属北京同仁医院"
2,"北京中医药大学东直门医院"
3,"首都医科大学附属北京地坛医院"
4,"北京协和医院"
5,"首都医科大学附属北京中医医院"
6,"陆军总医院"
7,"北京市公安医院"
9,"北京联合大学中医药学院附属医院"
11,"北京市东城区北新桥医院"
12,"北京市东城区东四医院"
14,"北京市东城区长安医院"
15,"北京市东城区建国门医院"
16,"北京市东城区朝阳门医院"
17,"北京市东城区口腔医院"
18,"北京中新颐和医院"
19,"东城中医医院"
20,"中美合资佳美口腔医院"
21,"北京天安中医院"
22,"北京当代女子医院"
24,"武警北京市总队第二医院"
25,"中国医学科学院阜外医院"
26,"中国人民解放军第三零五医院"
28,"首都医科大学附属北京安定医院"
29,"中国人民解放军二六二医院"
30,"北京大学第一医院"
31,"北京大学人民医院"
32,"北京市西城区平安医院"
33,"北京市护国寺中医院"
34,"北京市二龙路医院"
35,"北京市第二医院"
36,"北京市西城区妇婴医院"
37,"北京市展览路医院"
38,"中国残疾人联合会北京按摩医院"
39,"北京核工业医院"
40,"北京市西城区厂桥医院"
41,"北京市西城区月坛医院"
42,"北京广播器材厂职工医院"
43,"中国人民公安大学医院"
44,"北京闹市口医院"
45,"北京市西城区金华医院"
46,"北京市西城区新街口医院"
47,"北京明都中医院"
48,"北京天乐医院"
49,"北京前海股骨头医院"
50,"首都医科大学附属北京天坛医院"
51,"首都医科大学附属北京口腔医院"
53,"北京市普仁医院"
54,"北京市崇文区第一人民医院"
55,"北京市崇文区体育馆路医院"
56,"北京同仁堂崇文中医院"
57,"北京市崇文区前门医院"
58,"北京市崇文光明医院"
59,"北京东华医院"
60,"北京健安医院"
61,"北京两广医院"
62,"北京崇文英平医院"
63,"北空后中西医结合医院"
64,"北京市崇文区龙潭医院"
65,"北京普京医院"
66,"首都医科大学附属北京友谊医院"
67,"首都医科大学宣武医院"
68,"北京市健宫医院"
69,"北京右安门医院"
70,"北京市监狱管理局清河农场医院"
71,"北京市宣武区大栅栏天桥医院"
72,"北京市宣武区椿树医院"
73,"北京市宣武区广内医院"
74,"北京市宣武区陶然亭医院"
75,"北京市宣武区白纸坊医院"
76,"北京市政二公司白云路医院"
78,"北京印钞厂医院"
79,"北京市宣武区广河医院"
80,"北京市天堂河农场医院"
81,"北京市国营五四一医院"
82,"中国中医科学院望京医院"
83,"首都儿科研究所附属儿童医院"
85,"中国人民解放军第三零六医院"
86,"中国医学科学院肿瘤医院"
87,"首都医科大学附属北京安贞医院"
88,"北京军区总医院分院"
89,"福清市红十字医院"
90,"武警北京市总队医院"
91,"煤炭总医院"
92,"北京华信医院"
93,"北京中医药大学第三附属医院"
94,"北京市惠新医院"
95,"北京万杰医院"
96,"北京市垂杨柳医院"
97,"北京市朝阳区第二医院"
98,"北京市朝阳区中医院"
99,"首都国际机场医院"
101,"航空工业中心医院"
102,"北京市朝阳区第三医院"
103,"北京朝阳三环肿瘤医院"
104,"北京市朝阳区平房医院"
105,"北京市朝阳区金盏医院"
106,"北京城建水碓子医院"
107,"北京市朝阳区管庄医院"
108,"北京化工实验厂医院"
109,"北京市朝阳区豆各庄医院"
110,"北京市朝阳区劲松医院"
111,"北京市城建青年沟医院"
112,"北京市朝阳区亚运村医院"
113,"北京市朝阳区安华医院"
114,"北京第七建设工程公司职工医院"
115,"建筑材料科学院管庄东里医院"
116,"北京市朝阳区南磨房医院"
117,"北京市朝阳区楼梓庄医院"
118,"北京市朝阳区高碑店医院"
119,"北京市朝阳区太阳宫医院"
120,"北京市朝阳区十八里店医院"
121,"北京市朝阳区小红门医院"
123,"北京市朝阳区团结湖医院"
124,"北京起重机器厂朝阳广仁医院"
125,"北京朝阳光华医院"
126,"中电一局建设发展公司医院"
127,"北京市朝阳区新源里医院"
128,"北京青年沟医院"
129,"北京市城建祁家豁子医院"
130,"北京市朝阳区三间房医院"
132,"罗有明中医骨伤科医院"
133,"北京化学工业有限公司化工二厂医院"
134,"北京市朝阳区大柳树医院"
135,"北京市朝阳区来广营医院"
136,"北京市朝阳区三里屯医院"
137,"北京市朝阳区安苑中医院"
138,"北京市朝阳区康欣医院"
139,"中国舰船研究院北京舰船医院"
